t,vacc_status,symptomatic,asymptomatic,hospitalised,dead
202,unvaccinated,1.6583123951777,4.358898943540674,0.0,0.0
202,vaccinated,2.179449471770337,7.158910531638177,0.0,0.0
203,unvaccinated,2.179449471770337,3.278719262151,0.0,0.0
203,vaccinated,3.3541019662496847,10.805091392487155,0.0,0.0
204,unvaccinated,0.8660254037844386,4.358898943540674,0.0,0.0
204,vaccinated,4.123105625617661,11.368817000902073,0.0,0.0
205,unvaccinated,1.5,3.640054944640259,0.0,0.0
205,vaccinated,3.427827300200522,8.660254037844387,0.5,0.0
206,unvaccinated,1.6583123951777,6.224949798994366,0.0,0.0
206,vaccinated,4.47213595499958,5.678908345800274,0.5,0.0
207,unvaccinated,1.7320508075688772,4.031128874149275,0.0,0.0
207,vaccinated,2.23606797749979,6.164414002968976,0.5,0.0
208,unvaccinated,1.4142135623730951,4.123105625617661,0.0,0.0
208,vaccinated,4.8218253804964775,10.535653752852738,0.7071067811865476,0.0
209,unvaccinated,1.5,4.06201920231798,0.0,0.0
209,vaccinated,2.958039891549808,10.488088481701515,0.0,0.0
210,unvaccinated,1.4142135623730951,6.383572667401852,0.0,0.0
210,vaccinated,2.598076211353316,9.055385138137417,0.0,0.0
211,unvaccinated,1.5811388300841898,4.949747468305833,0.0,0.0
211,vaccinated,3.7416573867739413,9.643650760992955,0.0,0.0
212,unvaccinated,2.3979157616563596,3.5,0.0,0.0
212,vaccinated,2.6457513110645907,8.351646544245034,0.0,0.0
213,unvaccinated,2.449489742783178,4.2130748865881795,0.0,0.0
213,vaccinated,2.9154759474226504,9.486832980505138,0.0,0.0
214,unvaccinated,2.1213203435596424,4.5,0.0,0.0
214,vaccinated,5.678908345800274,10.700467279516348,0.5,0.0
215,unvaccinated,2.29128784747792,4.873397172404482,0.0,0.0
215,vaccinated,3.5355339059327378,8.139410298049853,0.0,0.0
216,unvaccinated,1.5,5.656854249492381,0.0,0.0
216,vaccinated,3.872983346207417,5.338539126015656,0.0,0.0
217,unvaccinated,1.5,4.847679857416329,0.0,0.0
217,vaccinated,4.183300132670378,12.072696467649637,0.0,0.0
218,unvaccinated,2.5,3.840572873934304,0.0,0.0
218,vaccinated,2.7838821814150108,10.246950765959598,0.0,0.0
219,unvaccinated,2.692582403567252,5.5901699437494745,0.0,0.0
219,vaccinated,3.7080992435478315,9.797958971132712,0.0,0.0
